"id","name"
1,"Sơn Tùng"
2,"Jun Phạm"
3,"Phùng Quán"
4,"Yunan"
5,"Tô Hoài"
6,"Nhiều Tác Giả"
7,"Nguyễn Tân"
8,"Đoàn Giỏi"
9,"Nguyễn Đình Thi"
10,"Thùy Dung"
11,"Luis Sepúlveda"
12,"Tạ Huy Long"
13,"Hà Minh"
14,"Antoine de Saint-Exupéry"
15,"Andea Hirata"
16,"Luis Prats"
17,"Zuzanna Celej"
18,"Jeff Kinney"
19,"B R O Group"
20,"Dương Trung Quốc"
21,"Hiếu Minh"
22,"Huyền Trang"
23,"Antoine De Saint Exupéry"
24,"Jakob Martin Strid"
25,"Nguyên Trang"
26,"Tố Ny"
27,"Ransom Riggs"
28,"Lam Phương"
29,"Xuân Quỳnh"
30,"Russell Punter"
31,"Xavier Bonet"
32,"Đào Hải"
33,"Đào hải"
34,"Quang Toàn"
35,"Hoài Thu"
36,"Mijika"
37,"Liuzi"
38,"Rudyard Kipling"
39,"Naokata Mase"
40,"Fumiko Takeshita"
41,"Mamoru Suzuki"
42,"Hiroki Hattori"
43,"Toshio Nishimura"
44,"Gomi Taro"
45,"Yoko Sasaki"
46,"Sachi Kokaze"
47,"Akane Nishihira"
48,"Kawa"
49,"Mai Anh Đỗ"
50,"Mariko Shinju"
51,"Takako Hirono"
52,"Yu Qing"
53,"Peter H Reynolds"
54,"Michiko Egashira"
55,"Stephanie Moss"
56,"Audrey Bouquet"
57,"Fabien Öckto Lambert"
58,"Thẩm Viên"
59,"Khương Tĩnh Á"
60,"Hồ Tâm"
61,"Giản Giản Châu"
62,"Cơ Cơ"
63,"Hà Yên"
64,"Tiểu Mạch Đông Thái"
65,"Phó Trại Nam"
66,"Thư Trùng"
67,"Linda Locke"
68,"1980Edu"
69,"Phí Mai"
70,"Jayneen Sanders"
71,"Marie Tibi"
72,"Đỗ Đức"
73,"Dan Allbaugh"
74,"Anil Yap"
75,"Khánh Vân"
76,"Phạm Lê Thu Trang"
77,"Tiểu Tranh"
