"id","name","price","discount_percentage","discount_amount","average_rating","rating_count","stock","category_id","delete_status"
1,"Búp Sen Xanh - Bìa Cứng - Tặng Kèm Obi + Postcard Hành Trình Cứu Nước - Độc Quyền Fahasa","110000",0,0,"0",0,100,4,False
2,"Búp Sen Xanh (Tái Bản 2020)","72000",0,0,"0",0,100,4,False
3,"Xứ Sở Miên Man - Bản Siêu Đặc Biệt - Tặng Kèm 1 Bookmark + 1 Postcard Hình Tác Giả + 1 Móc Khóa Nhựa Nhân Vật + 4 Thẻ Bài Tarot + 1 Thẻ Bài Tarot Limited Ngẫu Nhiên + 1 Đai Sách - Độc Quyền Fahasa","365000",0,0,"0",0,100,4,False
4,"Tuổi Thơ Dữ Dội - Tập 1 (Tái Bản 2019)","80000",0,0,"0",0,100,4,False
5,"Tuổi Thơ Dữ Dội - Tập 2 (Tái Bản 2019)","80000",0,0,"0",0,100,4,False
6,"Xứ Sở Miên Man - Tặng Kèm Bookmark","220000",0,0,"0",0,100,4,False
7,"Combo Tuổi Thơ Dữ Dội - Tập 1 Và 2 (Tái Bản 2019) (Bộ 2 Tập)","160000",0,0,"0",0,100,4,False
8,"Những Câu Chuyện Truyền Cảm Hứng - I Will Be Better - Con Sẽ Tự Giác","50000",0,0,"0",0,100,4,False
9,"Dế Mèn Phiêu Lưu Ký - Tái Bản 2020","50000",0,0,"0",0,100,4,False
10,"Những Truyện Hay Viết Cho Thiếu Nhi - Tô Hoài (Tái Bản 2019)","80000",0,0,"0",0,100,4,False
11,"Kỉ Niệm 70 Năm Chiến Thắng Điện Biên Phủ - Những Kí Ức Điện Biên","40000",0,0,"0",0,100,4,False
12,"Kỉ Niệm 70 Năm Chiến Thắng Điện Biên Phủ - Chuyện Ở Đồi A1","40000",0,0,"0",0,100,4,False
13,"Đất Rừng Phương Nam (Tái Bản)","81000",0,0,"0",0,100,4,False
14,"Cái Tết Của Mèo Con (Tái Bản 2019)","45000",0,0,"0",0,100,4,False
15,"Chuyện Con Mèo Dạy Hải Âu Bay (Tái Bản 2024)","60000",0,0,"0",0,100,4,False
16,"Dế Mèn Phiêu Lưu Ký (Tái Bản 2020)","150000",0,0,"0",0,100,4,False
17,"Tuyển Tập Truyện Cổ Tích Việt Nam Dành Cho Thiếu Nhi","125000",0,0,"0",0,100,4,False
18,"Hoàng Tử Bé (Song Ngữ Việt-Anh)","79000",0,0,"0",0,100,4,False
19,"Chiến Binh Cầu Vồng","135000",0,0,"0",0,100,4,False
20,"Hachiko - Chú Chó Đợi Chờ (Tái Bản 2019)","60000",0,0,"0",0,100,4,False
21,"Song Ngữ Việt - Anh - Diary Of A Wimpy Kid - Nhật Ký Chú Bé Nhút Nhát - Tập 1","96000",0,0,"0",0,100,4,False
22,"Song Ngữ Việt - Anh - Diary Of A Wimpy Kid - Nhật Ký Chú Bé Nhút Nhát - Tập 2: Luật Của Rodrick - Rodrick Rules","96000",0,0,"0",0,100,4,False
