"book_id","author_id"
1,1
2,1
3,2
4,3
5,3
6,2
7,3
8,4
9,5
10,5
11,6
12,7
13,8
14,9
14,10
15,11
16,5
16,12
17,13
18,14
19,15
20,16
20,17
21,18
22,18
23,19
24,12
24,20
24,21
24,22
25,12
25,20
25,21
25,22
26,19
27,19
28,19
29,6
30,23
31,24
32,6
33,25
33,26
34,27
35,28
36,29
37,30
37,31
38,32
39,6
40,33
40,34
40,35
41,6
42,36
42,37
43,36
43,37
44,38
45,39
46,39
47,40
47,41
48,39
49,42
50,43
51,44
52,45
53,46
53,47
54,48
54,49
55,6
56,43
57,40
57,41
58,50
59,51
60,40
60,41
61,52
62,53
63,54
64,55
65,45
66,40
66,41
67,56
67,57
68,58
68,59
69,58
69,59
70,58
70,59
71,58
71,59
72,58
72,59
73,60
74,61
74,62
75,56
75,57
76,56
76,57
77,63
78,56
78,57
79,64
80,65
80,66
81,56
81,57
82,56
82,57
83,67
84,56
84,57
85,68
85,69
86,56
86,57
87,68
87,69
88,70
89,60
90,71
90,57
91,72
92,73
92,74
93,73
93,74
94,73
94,74
95,73
95,74
96,75
96,76
97,75
97,76
98,75
98,76
99,75
99,76
100,75
100,76
101,77
102,77
103,77
104,77
105,78
106,78
107,78
108,78
109,78
110,78
111,79
111,80
111,81
112,79
112,80
112,81
113,79
113,80
113,81
114,79
114,80
114,81
115,82
116,83
117,82
118,84
119,85
120,86
121,87
122,36
122,88
123,36
123,88
124,36
124,88
125,36
125,88
126,36
126,88
127,89
127,90
128,91
129,92
130,93
130,94
131,95
132,36
132,88
133,36
133,88
134,36
134,88
135,96
135,97
136,98
137,99
137,100
138,101
139,102
140,103
141,104
142,105
143,103
144,6
145,106
146,6
147,6
148,6
149,6
150,103
151,107
151,108
152,103
153,109
154,110
155,6
156,102
157,6
158,6
159,111
160,112
161,6
162,6
163,113
163,114
164,115
164,116
165,6
166,6
167,117
168,118
169,119
170,120
170,121
170,122
170,123
171,124
172,125
173,125
174,126
174,127
175,128
175,129
176,130
176,131
176,132
177,6
178,133
178,134
179,135
179,136
180,6
181,6
182,137
183,138
183,139
184,140
184,141
184,142
184,143
185,144
186,145
187,67
187,146
188,147
189,147
190,147
191,147
192,147
193,148
194,147
195,149
196,147
197,147
198,147
199,150
200,147
201,147
202,147
203,147
204,147
205,151
206,147
207,152
208,153
209,1
209,154
210,153
211,153
212,153
213,155
213,156
214,153
215,157
215,158
216,159
216,160
217,153
218,161
218,162
219,153
220,153
220,163
221,164
221,165
222,153
223,165
223,166
223,167
224,6
225,153
226,165
226,168
227,169
227,170
227,171
228,165
228,172
229,173
229,174
230,175
230,176
231,165
231,177
232,178
233,179
234,179
235,180
235,181
236,182
237,183
238,184
239,6
240,185
241,112
241,150
242,184
243,182
243,186
244,187
245,184
246,187
247,184
248,188
249,179
250,188
251,189
252,179
253,190
254,191
255,192
255,21
256,192
256,21
257,151
258,192
258,21
259,193
260,194
261,193
262,195
263,6
264,196
265,6
266,197
267,193
268,193
269,196
270,6
271,198
272,193
273,199
274,6
275,195
276,200
276,192
276,21
276,201
277,202
278,203
279,202
280,202
281,204
282,202
283,203
284,205
285,204
286,203
288,203
289,206
289,207
290,203
291,206
291,207
292,208
293,203
294,209
295,203
296,210
297,210
298,210
299,210
300,75
300,211
301,75
301,211
302,212
303,212
304,212
305,212
306,212
307,212
308,213
309,214
311,6
312,215
313,6
314,6
315,215
316,6
317,216
318,6
319,217
319,218
320,219
321,219
322,219
323,182
323,214
324,220
324,221
324,186
325,222
326,219
327,219
328,219
329,219
330,6
331,223
331,224
331,225
332,219
333,6
334,219
335,217
335,218
336,226
336,227
336,228
337,215
338,229
339,220
339,221
339,186
340,230
341,6
342,223
342,231
342,232
343,222
343,233
344,229
345,6
346,234
346,235
347,236
348,215
349,105
350,237
350,238
350,239
351,223
351,225
351,240
352,241
352,242
352,243
352,244
353,245
353,246
353,247
353,248
353,223
354,245
354,246
354,247
354,248
354,223
355,249
356,250
356,251
357,219
358,219
359,222
359,252
360,217
360,218
361,182
361,214
362,6
363,219
364,253
364,254
365,219
366,6
367,253
367,254
368,255
369,256
369,257
370,6
371,258
371,259
371,260
372,261
372,224
372,225
373,241
373,237
373,262
373,263
373,243
373,264
373,265
374,217
374,218
375,229
376,6
377,229
378,6
379,6
380,266
380,267
380,268
380,269
381,229
381,270
382,223
382,231
382,232
383,249
384,271
385,272
385,273
386,274
386,275
386,276
386,277
387,274
387,275
387,276
387,277
388,278
389,279
390,280
390,281
391,282
391,283
391,284
392,255
393,285
393,280
394,209
395,286
396,287
397,288
397,289
397,290
398,291
399,292
400,293
400,294
400,295
400,296
401,293
401,294
401,295
401,296
402,253
403,6
404,297
404,298
405,6
406,299
406,300
406,301
406,302
407,303
408,304
408,305
408,306
409,307
