"book_id","specification_id","value"
1,1,"9786042253741"
1,2,"11 - 15"
1,3,"Nhà Xuất Bản Kim Đồng"
1,4,"Tiếng Việt"
2,1,"8935244826487"
2,3,"Nhà Xuất Bản Kim Đồng"
2,4,"Tiếng Việt"
3,1,"8935325029516"
3,3,"Skybooks"
3,4,"Tiếng Việt"
3,5,"2025-07-15 12:00:00"
4,1,"8935244827972"
4,3,"Nhà Xuất Bản Kim Đồng"
5,1,"8935244827989"
5,3,"Nhà Xuất Bản Kim Đồng"
6,1,"8935325014123"
6,3,"Skybooks"
6,4,"Tiếng Việt"
7,1,"combo-8935244827972-8935244827989"
7,3,"Nhà Xuất Bản Kim Đồng"
8,1,"8935244835335"
8,3,"Nhà Xuất Bản Kim Đồng"
9,1,"8935244817744"
9,3,"Nhà Xuất Bản Kim Đồng"
9,4,"Tiếng Việt"
10,1,"8935244817843"
10,3,"Nhà Xuất Bản Kim Đồng"
11,1,"8935352608562"
11,3,"Nhà Xuất Bản Kim Đồng"
11,4,"Tiếng Việt"
12,1,"8935352607817"
12,3,"Nhà Xuất Bản Kim Đồng"
12,4,"Tiếng Việt"
13,1,"8935244826043"
13,3,"Nhà Xuất Bản Kim Đồng"
13,4,"Tiếng Việt"
14,1,"8935244827217"
14,3,"Nhà Xuất Bản Kim Đồng"
15,1,"8935235242920"
15,3,"Nhã Nam"
15,6,"Phương Huyền"
16,1,"8935244820812"
16,3,"Nhà Xuất Bản Kim Đồng"
16,4,"Tiếng Việt"
17,1,"8936067608298"
17,3,"Minh Long"
17,4,"Tiếng Việt"
18,1,"8938537634684"
18,3,"Công ty TNHH Sách Hà Giang"
18,6,"Nguyễn Thúy Loan"
18,4,"Song Ngữ Anh - Việt"
19,1,"8935235245136"
19,3,"Nhã Nam"
19,6,"Dạ Thảo"
20,1,"8935244824087"
20,3,"Nhà Xuất Bản Kim Đồng"
20,6,"Nguyễn Phương Loan"
21,1,"8934986006454"
21,7,"Công ty TNHH Sách Hà Giang"
21,6,"Giang Vũ"
22,1,"8934986006461"
22,7,"Công ty TNHH Sách Hà Giang"
22,6,"Giang Vũ"
23,1,"8938507004370"
23,3,"BÁO TIỀN PHONG"
23,4,"Tiếng Việt"
24,1,"8935244874389"
24,3,"Nhà Xuất Bản Kim Đồng"
24,4,"Tiếng Việt"
25,1,"8935244823387"
