"id","name"
1,"Kim Đồng"
2,"NXB Kim Đồng"
3,"Phụ Nữ Việt Nam"
4,"Hội Nhà Văn"
5,"Văn Học"
6,"NXB Văn Học"
7,"Báo Sinh Viên Việt Nam - Hoa Học Trò"
8,"Trẻ"
9,"NXB Hà Nội"
10,"Báo Sinh Viên VN - Hoa Học Trò"
11,"NXB Lao Động"
12,"Lao Động"
13,"Hồng Đức"
14,"Thế Giới"
15,"NXB Mỹ Thuật"
16,"Thanh Niên"
17,"NXB Thanh Niên"
18,"NXB Trẻ"
19,"Hà Nội"
20,"Dân Trí"
21,"NXB Dân Trí"
22,"Mỹ Thuật"
23,"Đồng Nai"
24,"NXB Phụ Nữ"
25,"NXB Thế Giới"
26,"NXB Phụ Nữ Việt Nam"
27,"NXB Đồng Nai"
28,"NXB Đại Học Quốc Gia TP.HCM"
29,"NXB Thanh Hóa"
30,"Đại Học Quốc Gia TPHCM"
31,"Thanh Hóa"
32,"Giáo Dục Việt Nam"
33,"Đại Học Quốc Gia Hà Nội"
34,"NXB Giáo Dục Việt Nam"
35,"Đại Học Huế"
36,"NXB Đại Học Quốc Gia Hà Nội"
37,"Hải Phòng"
38,"NBX Đại Học Quốc Gia Hà Nội"
39,"Đại Học Sư Phạm TP.HCM"
40,"NXB Đại học Sư phạm"
41,"NXB Đại học Quốc gia Hà Nội"
42,"Đà Nẵng"
43,"NXB Đà Nẵng"
44,"NXB Đại Học Sư Phạm"
45,"NXB Đại Học Sư Phạm TPHCM"
46,"NXB Hải Phòng"
47,"Thông Tin Và Truyền Thông"
48,"NXB Hồng Đức"
49,"Tri Thức"
50,"Đại Học Thái Nguyên"
51,"NXB Đại Học Sư Phạm Tp.HCM"
52,"NXB Đại Học Sư Phạm TP Hồ Chí Minh"
53,"Đại Học Quốc Gia"
54,"NXB Tổng hợp TP.HCM"
55,"Tổng hợp TP.HCM"
56,"NXB Tổng Hợp TPHCM"
57,"Đại Học Sư Phạm"
58,"Đại Học Sư Phạm Thành Phố Hồ Chí Minh"
59,"Đại Học Quốc Gia Thành Phố Hồ Chí Minh"
60,"Đại Học Sư Phạm TPHCM"
61,"Đại Học Quốc Gia TP.HCM"
62,"Đại Học Sư Phạm TP Hồ Chí Minh"
63,"Đại Học Sư Phạm"
64,"Đại Học Quốc Gia TP. Hồ Chí Minh"
65,"Đại Học Quốc Gia TP.Hồ Chí Minh"
66,"Đại Học Sư Phạm TP.Hồ Chí Minh"
67,"Đại Học Sư Phạm Tp.HCM"
68,"Nhà Xuất Bản Đại Học Huế"
69,"Vietnam News Agency Publishing House"
70,"Sư Phạm TPHCM"
71,"Đại Học Quốc Gia TP Hồ Chí Minh"
72,"NXB Đại Học Sư Phạm TP HCM"
73,"Âm Nhạc"
74,"Đại Học Quốc Gia TPHCM"
75,"Tổng Hợp TPHCM"
76,"Tài Chính"
77,"Quân Đội Nhân Dân"
78,"NXB Hội Nhà Văn"
79,"Chính Trị Quốc Gia Sự Thật"
80,"Thế Giới, Văn Học"
81,"Phụ nữ Việt Nam"
82,"Thế Giới, Dân Trí"
83,"NXN Hội Nhà Văn"
84,"Công Thương"
85,"Phụ Nữ"
86,"NXB Thanh niên"
87,"NXB Văn Hóa - Văn Nghệ"
88,"NXB Tổng Hợp"
89,"NXB Khoa Học Xã Hội"
90,"Tổng Hợp Thành Phố Hồ Chí Minh"
91,"Thông Tấn"
92,"Văn học"
93,"NXB Tôn Giáo"
94,"NXB Văn Hóa Sài Gòn"
95,"NXB Thời Đại"
96,"Thời Đại"
97,"NXB Văn Hoá Sài Gòn"
98,"Tổng Hợp Thành Phổ Hồ Chí Minh"
99,"Tổng Hợp TP Hồ Chí Minh"
100,"NXB Đại học sư phạm"
101,"Cambridge University"
102,"NXB Compass Publishing"
103,"NXB First New"
104,"NXB Tổng hợp Thành Phố Hồ Chí Minh"
105,"Đại học Quốc Gia Hà Nội"
106,"NXB Đại Học Quốc Gia TPHCM"
107,"NXB Đại Học Quốc Gia HN"
108,"NXB Đại học Quốc Gia Hà Nội"
109,"Kinh Tế Thành Phố Hồ Chí Minh"
110,"NXB Công Thương"
111,"Kinh tế Thành Phố Hồ Chí Mình"
112,"Nhà Xuất Bản Thế Giới"
113,"NXB Thế giới"
114,"NXB Đại Học Kinh Tế Quốc Dân"
115,"NXB Lao Động Xã Hội"
116,"Đại Học Kinh tế Quốc Dân"
117,"NXB Lao Động - Xã Hội"
118,"NXB Tài Chính"
119,"NXB Đại học Kinh Tế Quốc Dân"
120,"Kinh tế TP.Hồ Chí Minh"
121,"NXB Văn hóa Văn nghệ"
122,"NXB ĐH Kinh Tế Quốc Dân"
123,"NXB Tổng Hợp TP.HCM"
124,"Đại Học Sư phạm"
125,"Tôn Giáo"
126,"Khoa Học Xã Hội"
127,"Tổng Hợp TP.HCM"
128,"Thế GIới"
129,"Thông Tin Truyền Thông"
130,"Bách Khoa Hà Nội"
131,"NXB Tri Thức"
132,"NXB Xây Dựng"
133,"NXB Bách Khoa Hà Nội"
134,"Hồng Bàng"
